File;Format;Size;names;files
File: Exempt Reporting Advisers, November 2018;Format:ZIP;Size:1.5 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110118-exempt.zip;ia110118-exempt.zip
File: Registered Investment Advisers, November 2018;Format:ZIP;Size:12.19 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110118.zip;ia110118.zip
File: Exempt Reporting Advisers, October 2018;Format:ZIP;Size:1.5 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100118-exempt_.zip;ia100118-exempt_.zip
File: Registered Investment Advisers, October 2018;Format:ZIP;Size:12.17 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100118_.zip;ia100118_.zip
File: Exempt Reporting Advisers, September 2018;Format:ZIP;Size:1.49 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090418-exempt_1.zip;ia090418-exempt_1.zip
File: Registered Investment Advisers, September 2018;Format:ZIP;Size:12.12 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090418.zip;ia090418.zip
File: Exempt Reporting Advisers, August 2018;Format:ZIP;Size:1.47 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080118-exempt.zip;ia080118-exempt.zip
File: Registered Investment Advisers, August 2018;Format:ZIP;Size:12.07 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080118.zip;ia080118.zip
File: Exempt Reporting Advisers, July 2018;Format:ZIP;Size:2.77 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia070218-exempt.zip;ia070218-exempt.zip
File: Registered Investment Advisers, July 2018;Format:ZIP;Size:17.65 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia070218.zip;ia070218.zip
File: Exempt Reporting Advisers, June 2018;Format:ZIP;Size:1.46 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060118-exempt.zip;ia060118-exempt.zip
File: Registered Investment Advisers, June 2018;Format:ZIP;Size:11.95 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060118.zip;ia060118.zip
File: Exempt Reporting Advisers, May 2018;Format:ZIP;Size:1.45 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia050118-exempt.zip;ia050118-exempt.zip
File: Registered Investment Advisers, May 2018;Format:ZIP;Size:11.82 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia050118.zip;ia050118.zip
File: Exempt Reporting Advisers, April 2018;Format:ZIP;Size:1.44 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia040218-exempt.zip;ia040218-exempt.zip
File: Registered Investment Advisers, April 2018;Format:ZIP;Size:11.62 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia040218.zip;ia040218.zip
File: Exempt Reporting Advisers, March 2018;Format:ZIP;Size:1.39 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia030118-exempt.zip;ia030118-exempt.zip
File: Registered Investment Advisers, March 2018;Format:ZIP;Size:11.43 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia030118.zip;ia030118.zip
File: Exempt Reporting Advisers, February 2018;Format:ZIP;Size:1.38 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/020118-exempt.zip;020118-exempt.zip
File: Registered Investment Advisers, February 2018;Format:ZIP;Size:11.56 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia020118.zip;ia020118.zip
File: Exempt Reporting Advisers, January 2018;Format:ZIP;Size:1.38 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/010118-exempt.zip;010118-exempt.zip
File: Registered Investment Advisers, January 2018;Format:ZIP;Size:11.37 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia010118.zip;ia010118.zip
File: Exempt Reporting Advisers, December 2017;Format:ZIP;Size:1.38 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia120117-exempt.zip;ia120117-exempt.zip
File: Registered Investment Advisers, December 2017;Format:ZIP;Size:11.41 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia120117.zip;ia120117.zip
File: Registered Investment Advisers, November 2017;Format:ZIP;Size:11.4 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110117.zip;ia110117.zip
File: Exempt Reporting Advisers, November 2017;Format:ZIP;Size:1.36 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110117-exempt.zip;ia110117-exempt.zip
File: Exempt Reporting Advisers, October 2017;Format:ZIP;Size:1.36 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100217-exempt.zip;ia100217-exempt.zip
File: Registered Investment Advisers, October 2017;Format:ZIP;Size:11.32 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100217.zip;ia100217.zip
File: Registered Investment Advisers, September 2017;Format:ZIP;Size:11.2 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090117_2.zip;ia090117_2.zip
File: Exempt Reporting Advisers, September 2017;Format:ZIP;Size:1.34 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090117-exempt_0.zip;ia090117-exempt_0.zip
File: Exempt Reporting Advisers, August 2017;Format:ZIP;Size:1.31 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080117-exempt.zip;ia080117-exempt.zip
File: Registered Investment Advisers, August 2017;Format:ZIP;Size:11.16 MB;https://www.sec.gov/files/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080117.zip;ia080117.zip
File: Registered Investment Advisers, July 2017;Format:ZIP;Size:11.1 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia063017.zip;ia063017.zip
File: Exempt Reporting Advisers, July 2017;Format:ZIP;Size:1.31 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia063017-exempt.zip;ia063017-exempt.zip
File: Exempt Reporting Advisers, June 2017;Format:ZIP;Size:1.3 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060117-exempt.zip;ia060117-exempt.zip
File: Registered Investment Advisers, June 2017;Format:ZIP;Size:11.06 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia060117.zip;ia060117.zip
File: Registered Investment Advisers May 2017;Format:ZIP;Size:11.02 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050117.zip;ia050117.zip
File: Exempt Reporting Advisers May 2017;Format:ZIP;Size:1.29 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia050117-exempt.zip;ia050117-exempt.zip
File: Exempt Reporting Advisers, April 2017;Format:ZIP;Size:1.27 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040117-exempt_0.zip;ia040117-exempt_0.zip
File: Registered Investment Advisers, April 2017;Format:ZIP;Size:10.94 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia040117.zip;ia040117.zip
File: Exempt Reporting Advisers, March 2017;Format:ZIP;Size:1.26 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030117-exempt.zip;ia030117-exempt.zip
File: Registered Investment Advisers, March 2017;Format:ZIP;Size:10.92 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia030117.zip;ia030117.zip
File: Exempt Reporting Advisers, February 2017;Format:ZIP;Size:1.25 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020117-exempt.zip;ia020117-exempt.zip
File: Registered Investment Advisers, February 2017;Format:ZIP;Size:10.89 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia020117.zip;ia020117.zip
File: Registered Investment Advisers, January 2017;Format:ZIP;Size:10.82 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010317.zip;ia010317.zip
File: Exempt Reporting Advisers, January 2017;Format:ZIP;Size:1.24 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia010317-exempt.zip;ia010317-exempt.zip
File: Registered Investment Advisers, December 2016;Format:ZIP;Size:10.9 MB;https://www.sec.gov/files/data/frequently-requested-foia-document-information-about-registered-investment-advisers-and-exempt/ia120116.zip;ia120116.zip
